Node Number;X Location (m);Y Location (m);Z Location (m)
791;-3.24E-02;2.9688;15.585
792;0.66539;2.5969;15.905
793;-0.84827;-1.0976;16.748
794;-0.21467;-1.2018;16.809
795;-0.60038;-1.4909;16.654
796;3.2544;-1.3175;14.672
797;2.9537;-2.0441;14.46
798;1.695;-3.2482;14.232
799;2.3879;-2.7374;14.338
800;1.893;-2.9744;14.636
801;-2.4297;-1.0699;15.931
802;-3.0265;-1.1166;15.223
803;-2.4254;-1.4908;15.729
804;-2.7713;-1.5852;15.275
805;-1.0009;-3.5223;14.239
806;0.38812;-3.6067;14.353
807;-0.36001;-3.5312;14.576
808;1.9199;-1.2218;16.254
