Node Number;X Location (m);Y Location (m);Z Location (m)
753;-29.631;0.4693;0.
754;-21.213;-21.213;0.
755;-1.362;-2.673;0.
756;-0.4693;-29.631;0.
757;0.4693;-29.631;0.
758;1.362;-2.673;0.
759;21.213;-21.213;0.
760;2.673;-1.362;0.
761;29.631;-0.4693;0.
762;3.;-7.35E-12;0.44444
763;29.631;0.4693;0.
764;-26.869;-13.344;8.
765;-21.454;-2.097;8.
766;-24.352;-17.514;8.5
767;-29.647;-0.45915;8.
768;-28.522;-0.9292;8.5
769;-3.;-3.63E-11;75.556
770;-29.631;0.4693;8.
771;-29.998;-1.91E+02;8.5
772;29.647;-0.45915;8.
773;3.;-7.35E-12;75.556
774;29.631;0.4693;8.
775;29.998;-1.91E+02;8.5
776;26.869;-13.344;8.
777;28.522;-0.9292;8.5
778;21.454;-2.097;8.
779;24.352;-17.514;8.5
780;-0.47607;-2.962;8.
781;0.47607;-2.962;8.
782;1.59E-03;-30.287;8.5
783;-13.802;-26.636;8.
784;-0.94634;-28.923;8.5
785;-1.793;-24.576;8.5
786;13.802;-26.636;8.
787;1.793;-24.576;8.5
788;0.94634;-28.923;8.5
789;3.;-7.35E-12;13.333
790;29.631;0.4693;0.88889
791;3.;-7.35E-12;22.222
792;29.631;0.4693;17.778
793;3.;-7.35E-12;31.111
794;29.631;0.4693;26.667
795;3.;-7.35E-12;4.
796;29.631;0.4693;35.556
797;3.;-7.35E-12;48.889
798;29.631;0.4693;44.444
799;3.;-7.35E-12;57.778
800;29.631;0.4693;53.333
801;3.;-7.35E-12;66.667
802;29.631;0.4693;62.222
803;29.631;0.4693;71.111
804;-3.;-3.63E-11;13.333
805;-29.631;0.4693;0.88889
806;-3.;-3.63E-11;22.222
807;-29.631;0.4693;17.778
808;-3.;-3.63E-11;31.111
809;-29.631;0.4693;26.667
810;-3.;-3.63E-11;4.
811;-29.631;0.4693;35.556
812;-3.;-3.63E-11;48.889
813;-29.631;0.4693;44.444
814;-3.;-3.63E-11;57.778
815;-29.631;0.4693;53.333
816;-3.;-3.63E-11;66.667
817;-29.631;0.4693;62.222
818;-29.631;0.4693;71.111
819;2.673;1.362;71.111
820;28.532;0.92705;66.667
821;28.532;0.92705;75.556
822;21.213;21.213;71.111
823;24.271;17.634;66.667
824;24.271;17.634;75.556
825;1.362;2.673;71.111
826;17.634;24.271;66.667
827;17.634;24.271;75.556
828;0.4693;29.631;71.111
829;0.92705;28.532;66.667
830;0.92705;28.532;75.556
831;-0.4693;29.631;71.111
832;-4.82E-12;3.;66.667
833;-4.82E-12;3.;75.556
834;-1.362;2.673;71.111
835;-0.92705;28.532;66.667
836;-0.92705;28.532;75.556
837;-21.213;21.213;71.111
838;-17.634;24.271;66.667
839;-17.634;24.271;75.556
840;-2.673;1.362;71.111
841;-24.271;17.634;66.667
842;-24.271;17.634;75.556
843;-28.532;0.92705;66.667
844;-28.532;0.92705;75.556
845;2.673;1.362;62.222
846;28.532;0.92705;57.778
847;21.213;21.213;62.222
848;24.271;17.634;57.778
849;1.362;2.673;62.222
850;17.634;24.271;57.778
851;0.4693;29.631;62.222
852;0.92705;28.532;57.778
853;-0.4693;29.631;62.222
854;-4.82E-12;3.;57.778
855;-1.362;2.673;62.222
856;-0.92705;28.532;57.778
857;-21.213;21.213;62.222
858;-17.634;24.271;57.778
859;-2.673;1.362;62.222
860;-24.271;17.634;57.778
861;-28.532;0.92705;57.778
862;2.673;1.362;53.333
863;28.532;0.92705;48.889
864;21.213;21.213;53.333
865;24.271;17.634;48.889
866;1.362;2.673;53.333
867;17.634;24.271;48.889
868;0.4693;29.631;53.333
869;0.92705;28.532;48.889
870;-0.4693;29.631;53.333
871;-4.82E-12;3.;48.889
872;-1.362;2.673;53.333
873;-0.92705;28.532;48.889
874;-21.213;21.213;53.333
875;-17.634;24.271;48.889
876;-2.673;1.362;53.333
877;-24.271;17.634;48.889
878;-28.532;0.92705;48.889
879;2.673;1.362;44.444
880;28.532;0.92705;4.
881;21.213;21.213;44.444
882;24.271;17.634;4.
883;1.362;2.673;44.444
884;17.634;24.271;4.
885;0.4693;29.631;44.444
886;0.92705;28.532;4.
887;-0.4693;29.631;44.444
888;-4.82E-12;3.;4.
889;-1.362;2.673;44.444
890;-0.92705;28.532;4.
891;-21.213;21.213;44.444
892;-17.634;24.271;4.
